"V1"|"V2"|"V3"|"V4"|"V5"|"ID"|"grp"|"YrStarted"|"Q16_1"|"Q16_2"|"Q16_3"|"Q16_4"|"Q16_5"|"Q16_6"|"Q16_7"|"Q16_8"|"Q18_1"|"Q18_2"|"Q18_3"|"Q18_4"|"Q18_5"|"Q18_6"|"Q18_7"|"Q18_8"
"Loaded the trial then emailed about cancelation but email bounced back. Ended up paying $36 for an app I didn't want. No way to contact for refund. Be careful if you buy this. If you try the trial you're stuck paying for it!"|"3.99 per month to make the app usable. POS"|"I can t select weekly days which days i need remainder, and this drawback of app, best to go with other app"|"Nested can be improved"|"Irrespextive of having task completed, there should be a way of having access to your \"do list\" as long as it is not deleted. One might want to crosscheck a few sruffs. They should fix that issue."|13|"Technical and Scientific"|"2012"|"5"|"8"|NA|"8"|"8"|"1"|"6"|"1"|"1"|"7"|"5"|"4"|"8"|"3"|"1"|"3"
"Cant re-edit time that ive set, necessary to delete and redo the process. Also, i need a reminder for every hour, and had to create 24 reminders instead of 1 reminder running every hour. Poorly designed."|"Not worth $38..."|"Very average app, not intuitive . Will probably spend more time trying to plan than doing"|"It's a fine app but logs me out every other time I go to use it."|"This is a lovely app, but I would rather to pay one time off for using it. It becomes too expensive if you use it for years :( Doesn't connect to google tasks neither"|14|"Business Operations"|"2017"|"7"|"2"|"7"|"7"|NA|"5"|"8"|"3"|"5"|NA|"7"|"3"|"8"|"3"|"5"|NA
"Thanks to the developer for your quick response, however, this calendar is useless for our group without those features...we decided to go with Business Calendar Pro. Previous comments: Wasn't able to see month or year view"|"I downloaded it and login with Google I never did anything just logged in with Google. It has asking me many time for auto debit for subscription so I uninstalled it. But still 5 min before Rs 909 debited from my account. This is the muging of money. I want refund my money in my account. Kindly"|"I was willing to give this a try to see if it suits my needs. Seemed ok, with limited use so far. The only thing more annoying than constant notifications from apps is at 9am when my phone vibrates and Any.Do takes over the whole screen and asks me to plan my day. I don't need it taking over things, i will plan when i want. Are you seriously doing this? It is the equivalent of a browser popup and very annoying."|"Hi Developer. Need to improve note module. It fix only for protrait view, which is when I'm using landscape view (tablet with keyboard), I need to adjust my head or the gadget. TQ"|"I love the app but recently the widgets have been glitching, they go blank or sometimes do respond when I click a checkbox."|15|"Business Operations"|"2013"|"7"|"7"|"7"|"5"|"7"|"6"|"8"|"2"|"1"|"3"|"2"|NA|"3"|"1"|"7"|"2"
"This was originally a 5 star app, but now you can only use it by allowing it access to either your emails or Facebook! 😡😡😡 I am definitely not happy to allow this so have deleted the app. Would give it zero stars if I could."|"Only 7 day trial. Not sufficient. A month would be better"|"I had made an account for this app a long time ago but didn't use it for long and I forgot why until I re-downloaded it today. This is one of those apps that's incredibly frustrating because a lot of the main advertised features are behind a pay wall and/or you have to make an ADDITIONAL ACCOUNT FOR. Paying more than $1/mo for a list app is ridiculous. If anything it should be a one-time purchase."|"Recurring tasks are behind a pay wall. Ridiculous to have to pay a monthly subscription for such a simple feature App is a little ugly and not customisable."|"No longer getting reminder pop-ups. What happened?"|16|"Technical and Scientific"|"2017"|"2"|"5"|"8"|"5"|"4"|"5"|"8"|"7"|"6"|"7"|"8"|"1"|"5"|"6"|"6"|"5"
"Couldn't even set up one single recurring reminder without being required to pay monthly subscription. Get your greedy hand off it dev. It's only only a reminder app not a useful service."|"This app is super best"|"Can't clean up old Alexa lists! We use this purely for the Alexa shopping list integration. However, early on it was very buggy, so we had to relink our Alexa account a number of times. And now we have like 4 or 5 old \"Alexa shopping list\"s that we cannot delete! \"Alexa lists can not be modified with Any.do. You can do it from the Alexa app\"... No, I can not, because it only deletes the working one!"|"Themes and location based reminders are under subscription. Both are free on most of apps like this. Thanks but no. I'll pass and keep using Google keep"|"1. Apart from events, how to import Reminders from Google Calendar App? 2. How to import the tasks from Google Tasks App?"|17|"Business Operations"|"2015"|"4"|"2"|"3"|"4"|"7"|"4"|"1"|"8"|"5"|"8"|"2"|"5"|"6"|"1"|"6"|"6"
"Hey ,there is something wrong here ...the billing i signed up for was for about 2$ And not 35$ from my account...that is my tuition upkeep fee....I berely even use your app even.... please I need back my refund...this isn't right...I would file a report to Google play store..this is totally scammy... Please you guys should totally avoid this app please. Jesus Christ i totally expected to be billed 2$...all of a sudden its 35$...no this is totally far frm being fair please"|"Why should I pay for an app of which I haven't installed? Huh😠😠😠"|"I was about to jump wholeheartedly into using this app (its integration with Google Calendar being exactly what I'm looking for) but now I see that it has no search feature on Android. Worse still, Android Search has been on their roadmap since 2015 and it's still not done. 2015!?! In the meantime other apps can build smart lists it out of tags, status and free text. Seriously behind the curve, guys."|"Not so great. The user interface is not friendly. Making the to do list takes far too long and theres no way (that i found) to make a list that repeats daily. I'll just stick to google keep."|"Small but significant issue for me: I like to look ahead at the events and tasks or whatever I put into the calendar/widget in advance. BUT I wish there was a way to automatically go back (like a button) to today's date and events afterwards because I don't like having to manually click on the arrows to go back to today's date after I view my future months and events . Overall, awesome app! Hopefully something like this gets added , I really want to continue using this app. Thank you :) !"|18|"Business Operations"|"2011"|"3"|"7"|"2"|"4"|"6"|"8"|"1"|"3"|"2"|"2"|"2"|"2"|"1"|"6"|"8"|"3"
"I reported about this app due to incorrect billing but noone answer me. Please, return my money back because app took my money without my permission from my credit card."|"Cannot change themes anymore missing notifications liked it previously"|"Unable to edit time for reminder. S7"|"Strange thing. When I mark recurrent tasks as done in web desktop version into the Upcoming section."|"I like it, a lot and also not a lot. I like the way it looks once the tasks are created, but I dislike creating the tasks using the current interface. 4 comments. 1. I have the full version with WhatsApp linked and it causes duplicate reminders. 2. The widgets are not recognized by my homescreen replacement app (go launcher). 3. I would like to be able to resize the fonts and spacing. 4. Creating tasks via WhatsApp or Google assistant is very limited in its possibilities and often erroneous."|19|"Technical and Scientific"|"2016"|"8"|"4"|"7"|"8"|"1"|"8"|"3"|"2"|"8"|"1"|"4"|"3"|"8"|"7"|"1"|"3"
"The fact that you have to pay so much to use something so simple isn't worth it to me. There are free apps of similar functionality."|"isnt this basically a calendar that is for all phones."|"Syncing with Alexa takes over 10-15 minutes which renders it unusable. Any.do, before you post your generic response: yes, I added the skill to my Alexa and, yes, I logged into my accounts. It syncs... kind of... so I can verify the two accounts are talking... just not well at all. When I use Wunderlist or Google Tasks or just Alexa by itself, the changes are instantly viewable across all platforms. The only reason I downloaded with app was to give me more control over my Alexa lists (which for some insane reason you cannot reorder). The extremely lag in syncing Any.do with Alexa renders this app useless. The UI looks really nice and user friendly, so I bumped it up to 2 stars."|"Notification is now pathetic.. shame. I liked it a lot. I think its time to jump ship. It's been fun."|"I really like any.do and having my to do list and events in the same place. However I have knocked off stars because I need more customisable repeat options and notifications. Sometimes my tasks are every two weeks, or every other day, or every 3 days. Would be nice for this option. I also like to put reminders in for my work calendar. I don't seem to get the option to change this when doing a new event reminder. Can't afford premium. Shame. Back to Google calendar. :("|20|"Technical and Scientific"|"2017"|"1"|"7"|"3"|"5"|"6"|"1"|"8"|"7"|"5"|"6"|"4"|"6"|"2"|"3"|"3"|"7"
"Need premium level to import wunderlist. B.S. Have to reset password Everytime to login. So haven't been able to even try the APP."|"The reminder doesn't work at all."|"I'm a student and was looking for something get myself very organized. I have tried series of productivity apps before. Apparently this had one of the features i have always been looking for; integration with other apps which I love. Two things I found disappointing, features are extremely limited without premium, it's almost impossible to use like that also very expensive. I couldn't find statistics; from totally hours and other reports"|"After all this time you still can not search tasks on Android. So you have to look through every task you have created and through each list to find what task you are looking for. Going down to 2 star."|"This is my first time rating this app because I noticed that there were changes in putting a reminder. Hopefully after the task tab, the time & date will be under it. It's a bit hassle that it was made smaller that without my glasses I didn't notice it for several times. Also,I don't see any purpose of sharing it to other people ;so it should not be the priority. I hope that you can do something about this. Anyway, thank you for helping me get through my daily tasks.I'll wait for another update"|21|"Business Operations"|"2015"|"7"|"4"|"8"|"5"|"2"|"6"|"1"|"3"|"3"|"8"|"4"|NA|"3"|"5"|"1"|"7"
"Can't use it without registering with your email address. Immediate uninstall."|"In recurrent tasks if I skip marking one of them as \"done\" it doesn't remind me the next time (say after a week or next day if the repetition is set to daily)"|"I am a paid user of this app. I like this app a lot, until Android 10. They claim what they used to do is not possible but that is not true because another app I use (Daylio) has a nice notification that jumps out at you, like Any.do used to. Now Any.do gives a regular ignorable notification which you click and the app does something on the screen and is pretty pathetic, THEN it gives it's notification to plan your day. So it's two clicks with a big visual pause in between. Not cool. 👎"|"Not free"|"Some nice features here. Their approach really set it apart from the other I've tried so far. It's a strong contender as a Wunderlist replacement. The only reason I am still not confident on a switch is their Wear integration. It's terrible! The app doesn't listen to the watch at all. I've tried completing and snoozing and it does nothing. The watch app can only add tasks, so the screenshots they're sharing here are DECEPTIVE. I also wish I could hide completed task, instead of deleting."|22|"Technical and Scientific"|NA|"5"|"3"|"8"|"3"|"4"|"8"|"2"|"7"|"6"|"4"|"8"|"7"|"2"|"7"|"6"|"6"
"complicated , dislike the pro version. microft to -do list is better"|"Doesn't sync."|"So far so good... bit expensive having to purchase a yearly basis to access basic functions as color tags and what comes with it. Translation to Greek is not fluent for the price tag / annually I would apprechiate developers look closer at them. Will give it a try before committing on purchasing it per year. On a positive note love the widget (using however nova launcher). Current rating will change based on the experience."|"muito limitador pra quem não paga pra usa, e nem é tão vom assim."|"Honestly I would give it 5 star, since I'm not going to subscribe or anything, but the fact that you need to subscribe just to change the theme (just to change it into dark theme) is deal-breaker, so 3 star it is. I know, you guys also need to make money but for a appearance options need to be paid is a no for me, I get it if it's like new option like color-coding so you can easily sort stuff, things like that."|23|"Business Operations"|"2010"|"7"|"6"|"7"|"1"|"8"|"2"|"6"|"1"|"5"|"1"|"6"|"5"|"1"|"6"|"5"|"5"
"Not close to do list. All features available bin premium mode only."|"I have canceled for the subscription when at the first time i used anydo.  Do i still have to pay? i was try for free trial for the first i using this app."|"I used to love it. It was my go to app for many years. But over the time it is losing the special status. It doesn't have travel time anymore which was the main reason why i could stay on top of things without mentally having to calculate each meeting and setting the times. They removed that!"|"It used to be a slick, minimal app that did what it needed to. Then they kept adding layers of unneeded features and forced people to make an account just to use it. No thanks."|"Stop looking at users as cash cows. I will be uninstalling this and moving to a different app which is as good and does not nag. This is quite a good To Do app other than that it too often comes up with prompts to upgrade to the premium subscription-based version. Since when have customers disrespectfully/greedily been treated as cash cows. It used to be apps were$5 at most for a lifetime of use but now they are greedy and arrogant enough to want $5 or thereabouts per Month! I wud pay a one off"|24|"Business Operations"|"2016"|"7"|"8"|"2"|"7"|"5"|"4"|"2"|"6"|"8"|"4"|"4"|"1"|"2"|NA|"5"|"6"
"It slow down my flow when i turned on or click via home page widget There is a fade in effect or lagging, please kindly help check Thank you"|"No help to be had. No tutorials available. After 3 days I could not even find out how to delete notes. Perhaps I am just stupid. Perhaps it doesn't work with my phone. Uninstalled and we'll try something else to work with my Google assistant."|"good shared tasks, but app itself makes me angry.. it keeps forgetting i am logged in with my google account.. so I need to login for like each two weeks or so.. and it also forgets my settings... Edit: unfortunately this has not been fixed yet, even though I had sent logs and communicated with you. Decreasing my rating."|"Слишком сложно, но при этом нет того, что нужно. Очень много возможностей, но не смог элементарно сделать TODO список на _каждый_ день. И постоянно лезут с предложением купить премиум. Да не вопрос, если бы был необходимый функционал. Ощущение, что приложение разработано рубить бабло, но при этом не задумываясь о потребностях пользователя."|"Awesome app but hate the new placement of the buttons. When you use to create a task you clicked under the title to select when you wanted a reminder. Now it's halfway down the page. I keep hitting \"share task\" and it takes forever to back out of that screen."|25|"Business Operations"|"2011"|"8"|"7"|NA|"8"|"6"|"6"|"8"|"8"|"6"|"6"|"8"|"8"|"5"|"6"|"5"|"5"
"Looked at it and it appears that the apps is signed as a subscription. Trying to find out if it is subscriped or not. Do not want the app."|"Really disappointed to find recurring tasks functionality is only available with the paid version. Would not recommend. Also it doesn't sort tasks by date and time properly."|"Have to create an account just to check out functionality. Don't want to do that. Uninstalling."|"No monthly recurring reminder features. Can't even remind me when to pay the bills!"|"The app is pretty good and has good features. However, when I shared a grocery list with my fiance it wouldn't let him accept and it it sent him TONS of emails regarding it. Literally 1 every few minutes for hours and I have no clue how to stop this without him just unsubscribing. Given that sharing is a big part of why I wanted the app, it does put a damper on things for me."|26|"Business Operations"|NA|"1"|"8"|"6"|"2"|"7"|"8"|"4"|"2"|"4"|"3"|"6"|"8"|"2"|"8"|"3"|"5"
"This app would not let me start a new day. It listed my tasks that I performed for one day as overdue for the next day. Just weird."|"BEWARE the trial period is a scam I've been using the free version for a while and decided to try the premium for 7 days per the trial ad. After 5 days I realized it didn't quite organize my information how I best work so I wrote to cancel. They informed me that I must have accidentally signed up for a non trial and by their strict Terms cannot refund me. So I wrote back nicely that my intention was to try it per the Ad, but they said it's not possible. Really?"|"I liked using this app but I recently noticed that important information I had saved in sub tasks has all been deleted. Its happened before and I thought I had made a mistake. But no, it's just this app malfunctioning."|"Have to create an account just to check out functionality. Don't want to do that. Uninstalling."|"Easy to use decent integration. One major flaw in the shopping list, no way of entering quantities, schoolboy error!!"|27|"Business Operations"|"2016"|"2"|"8"|"2"|"5"|"4"|"7"|"1"|"3"|"3"|"1"|"6"|"3"|"4"|"2"|"1"|"5"
NA|"All I want is a calendar. This app spams you so much. 1 star"|"It works well, But I do not recall subscribing to a $28/year subscription.i thought I purchased it until I saw that it was renewed for an additional $28. It's not good enough to justify that price."|"I love the app but I wish there was a separate page for notes. (I know that you can add notes when you create a task), but I'd like to see a designated page just for notes. Other than that I never liked subscription models, I think way more people would actually buy it, myself included if it would be a one time fee."|"Great app but crazy there's no Google Calendar integration!! Even tried setting this up with Zapier but it only creates an entry (with no link to any.do task title) for when the task is created and not when the task is scheduled. Will Google Calendar integration be coming to the app?"|28|"Technical and Scientific"|"2011"|"1"|"1"|"2"|"7"|"3"|"4"|"5"|"7"|"5"|"8"|"3"|"2"|"3"|"5"|"3"|"5"
"Just basic app without any exciting features. Why I pay for this useless app. Please don't download it's a cheat, waste of time and energy."|"Requires registration"|"Allowed all the permissions for this app but i still can't get the reminder to work on my smartphone running Android 8. Downloaded a different reminder app and also allowed all permissions for it, and it worked well."|"How do i unsubscribe this useless app?"|"Updated: It's widget can switch between calander / todolist and view the events for the calander, in the widget when clicking instead of it opening the calander app like most apps. It's task list doesn't seem to sync to gtasks but the calander does. Upgrade to premium to add things like a recurring event, daily planner, WhatsApp reminders, extra colors etc."|29|"Business Operations"|"2011"|"8"|"4"|"7"|"1"|"6"|"4"|"7"|"1"|"8"|"7"|"5"|"2"|"6"|"5"|"4"|"8"
"Would have been nice to know the price before using up my data for download, just to be uninstalled seconds later"|"Please free the colour theme and tags and then I will give 5 stars"|"Over all good task manager. But I do not like misleading and untrue boasts about integration with MS outlook. It is possible but only via zappier plus functionality is limited. Not possible to sync task between this 2apps."|"List feature sucks! I don't need to manage myself so I can't speak to that functionality. I just wanted a list app, preferably one that worked with Google Assistant. Although that feature works great, the list feature kind of sucks. In an attempt to look new and edgy, the user experience went down the drain. I found it clunky & irritating. I shouldn't have to add a new item to the grocery list just to be able to uncheck items I need again. And that's just one of many irritations. AnyList baby!"|"Long time user...do not like the latest changes! Changing the location of the remind feature is very frustrating. Now I keep clicking on the wrong option because it is in the same place as the remind feature used to be. Please change back..."|30|"Business Operations"|"2015"|"3"|"5"|"3"|"2"|"3"|"7"|"3"|"4"|"8"|"8"|"8"|"6"|"5"|"2"|"6"|"6"
"Absolute rubbish, killing off Wunderlist for this is a clear example of the domanant power of the big thugs Microsoft, Google, Amazon etc., taking over better competitors so they can push their inferior garbage. Trying out TickTock now"|"This app kept losing my reminders"|"Pretty with nice add ons and integrations but more than once I've gone back to a long list I created to find it gone or reverted back to a very old version, so annoying. Don't need the song and dance this app offers if it can't save a basic list"|"Update: Used to be great. Now they've added so many steps it's no longer the simple app it used to be. Very disappointed."|NA|31|"Business Operations"|"2012"|"4"|"7"|"7"|"7"|"2"|"1"|"2"|"1"|"8"|"4"|"1"|"8"|"5"|"1"|"3"|"8"
