"ID"|"GRP"|"GNDR"|"PGM"|"YR"|"MO"|"age"|"dt"|"ind1"|"ind2"
4|"GRP3"|"F"|"PGM2"|2013|6|20|2013-06-01|1836.86|17.73
5|"GRP1"|"NB"|"PGM1"|2010|12|42|2010-12-01|0|15.76
5|"GRP1"|"NB"|"PGM1"|2011|1|43|2011-01-01|0|12.17
5|"GRP1"|"NB"|"PGM1"|2011|2|43|2011-02-01|0|14.02
5|"GRP1"|"NB"|"PGM1"|2011|3|43|2011-03-01|0|17.56
5|"GRP1"|"NB"|"PGM1"|2011|4|43|2011-04-01|0|13.86
5|"GRP1"|"NB"|"PGM1"|2011|5|43|2011-05-01|0|18.55
5|"GRP1"|"NB"|"PGM1"|2011|6|43|2011-06-01|0|15.37
5|"GRP1"|"NB"|"PGM1"|2011|7|43|2011-07-01|0|14.38
5|"GRP1"|"NB"|"PGM1"|2011|8|43|2011-08-01|0|14.98
5|"GRP1"|"NB"|"PGM1"|2011|9|43|2011-09-01|0|13.66
5|"GRP1"|"NB"|"PGM1"|2011|10|43|2011-10-01|0|19.31
5|"GRP1"|"NB"|"PGM1"|2011|11|43|2011-11-01|0|13.7
5|"GRP1"|"NB"|"PGM1"|2011|12|43|2011-12-01|0|12.38
5|"GRP1"|"NB"|"PGM1"|2012|1|44|2012-01-01|0|10.09
5|"GRP1"|"NB"|"PGM1"|2012|2|44|2012-02-01|0|9.61
5|"GRP1"|"NB"|"PGM1"|2012|3|44|2012-03-01|0|17.2
5|"GRP1"|"NB"|"PGM1"|2012|4|44|2012-04-01|0|19.34
5|"GRP1"|"NB"|"PGM1"|2012|5|44|2012-05-01|0|18.37
5|"GRP1"|"NB"|"PGM1"|2012|6|44|2012-06-01|0|15.92
5|"GRP1"|"NB"|"PGM1"|2012|7|44|2012-07-01|0|14.13
5|"GRP1"|"NB"|"PGM1"|2012|8|44|2012-08-01|0|13.77
5|"GRP1"|"NB"|"PGM1"|2012|9|44|2012-09-01|0|13.62
5|"GRP1"|"NB"|"PGM1"|2012|10|44|2012-10-01|0|17.37
5|"GRP1"|"NB"|"PGM1"|2012|11|44|2012-11-01|0|19.55
6|"GRP4"|"F"|"PGM3"|2012|10|18|2012-10-01|166.18|30.22
6|"GRP4"|"F"|"PGM3"|2012|11|18|2012-11-01|46.63|29.69
6|"GRP4"|"F"|"PGM3"|2012|12|18|2012-12-01|0.09|21.08
6|"GRP4"|"F"|"PGM3"|2013|1|19|2013-01-01|917.92|31.07
6|"GRP4"|"F"|"PGM3"|2013|2|19|2013-02-01|1826.9|31.56
6|"GRP4"|"F"|"PGM3"|2013|3|19|2013-03-01|2701.13|21.96
6|"GRP4"|"F"|"PGM3"|2013|4|19|2013-04-01|3454.29|33.44
6|"GRP4"|"F"|"PGM3"|2013|5|19|2013-05-01|3849.37|30.91
6|"GRP4"|"F"|"PGM3"|2013|6|19|2013-06-01|3490.03|41.19
6|"GRP4"|"F"|"PGM3"|2013|7|19|2013-07-01|2353.8|25.49
6|"GRP4"|"F"|"PGM3"|2013|8|19|2013-08-01|1184.44|43.86
6|"GRP3"|"F"|"PGM3"|2013|9|19|2013-09-01|244.49|24.95
6|"GRP3"|"F"|"PGM3"|2013|10|19|2013-10-01|87.75|23.82
6|"GRP3"|"F"|"PGM3"|2013|11|19|2013-11-01|24.62|34.78
6|"GRP3"|"F"|"PGM3"|2013|12|19|2013-12-01|0.05|37.19
7|"GRP1"|"F"|"PGM1"|2013|8|39|2013-08-01|0|10.94
7|"GRP1"|"F"|"PGM1"|2013|9|39|2013-09-01|0|6.37
7|"GRP1"|"F"|"PGM1"|2013|10|39|2013-10-01|0|10.11
7|"GRP1"|"F"|"PGM1"|2013|11|39|2013-11-01|0|7.23
7|"GRP1"|"F"|"PGM1"|2013|12|39|2013-12-01|0|6.13
8|"GRP4"|"M"|"PGM2"|2010|6|22|2010-06-01|2017.53|7.25
8|"GRP4"|"M"|"PGM2"|2010|7|22|2010-07-01|1360.7|11.11
8|"GRP4"|"M"|"PGM2"|2010|8|22|2010-08-01|684.71|10.33
8|"GRP4"|"M"|"PGM2"|2010|9|22|2010-09-01|282.67|10.88
8|"GRP4"|"M"|"PGM2"|2010|10|22|2010-10-01|101.45|9.79
8|"GRP4"|"M"|"PGM2"|2010|11|22|2010-11-01|28.47|7.98
8|"GRP4"|"M"|"PGM2"|2010|12|22|2010-12-01|0.05|2.68
8|"GRP4"|"M"|"PGM2"|2011|1|23|2011-01-01|555.03|8.61
9|"GRP1"|"NB"|"PGM1"|2012|1|40|2012-01-01|0|16.09
10|"GRP2"|"NB"|"PGM1"|2013|11|35|2013-11-01|22.68|14.43
11|"GRP4"|"F"|"PGM2"|2010|6|39|2010-06-01|7153.06|18.14
11|"GRP4"|"F"|"PGM2"|2010|7|39|2010-07-01|4824.28|18.98
11|"GRP4"|"F"|"PGM2"|2010|8|39|2010-08-01|2427.59|21.01
11|"GRP4"|"F"|"PGM2"|2010|9|39|2010-09-01|1002.19|24.64
11|"GRP4"|"F"|"PGM2"|2010|10|39|2010-10-01|359.7|22.11
11|"GRP4"|"F"|"PGM2"|2010|11|39|2010-11-01|100.92|17.34
11|"GRP4"|"F"|"PGM2"|2010|12|39|2010-12-01|0.19|19.89
11|"GRP4"|"F"|"PGM2"|2011|1|40|2011-01-01|1930.54|21.27
11|"GRP4"|"F"|"PGM2"|2011|2|40|2011-02-01|3842.29|21.85
11|"GRP4"|"F"|"PGM2"|2011|3|40|2011-03-01|5680.95|23.93
11|"GRP4"|"F"|"PGM2"|2011|4|40|2011-04-01|7264.97|25.98
11|"GRP4"|"F"|"PGM2"|2011|5|40|2011-05-01|8095.88|21.49
11|"GRP4"|"F"|"PGM2"|2011|6|40|2011-06-01|7340.12|21.37
11|"GRP4"|"F"|"PGM2"|2011|7|40|2011-07-01|4950.44|19.82
11|"GRP4"|"F"|"PGM2"|2011|8|40|2011-08-01|2491.08|25.58
11|"GRP4"|"F"|"PGM2"|2011|9|40|2011-09-01|1028.4|20.7
11|"GRP4"|"F"|"PGM2"|2011|10|40|2011-10-01|369.1|23.56
11|"GRP2"|"F"|"PGM2"|2011|11|40|2011-11-01|17.26|16.85
11|"GRP2"|"F"|"PGM2"|2011|12|40|2011-12-01|0.03|13.79
11|"GRP2"|"F"|"PGM2"|2012|1|41|2012-01-01|329.97|23.41
11|"GRP2"|"F"|"PGM2"|2012|2|41|2012-02-01|656.72|24.9
11|"GRP2"|"F"|"PGM2"|2012|3|41|2012-03-01|970.98|25.18
11|"GRP2"|"F"|"PGM2"|2012|4|41|2012-04-01|1241.72|20.14
11|"GRP2"|"F"|"PGM2"|2012|5|41|2012-05-01|1383.73|15.87
11|"GRP2"|"F"|"PGM2"|2012|6|41|2012-06-01|1254.56|24.14
11|"GRP2"|"F"|"PGM2"|2012|7|41|2012-07-01|846.12|21.49
11|"GRP2"|"F"|"PGM2"|2012|8|41|2012-08-01|425.77|20.02
11|"GRP2"|"F"|"PGM2"|2012|9|41|2012-09-01|175.77|18.7
11|"GRP2"|"F"|"PGM2"|2012|10|41|2012-10-01|63.09|16.81
11|"GRP2"|"F"|"PGM2"|2012|11|41|2012-11-01|17.7|17.15
11|"GRP2"|"F"|"PGM2"|2012|12|41|2012-12-01|0.03|24.55
11|"GRP2"|"F"|"PGM2"|2013|1|42|2013-01-01|338.18|17.25
11|"GRP2"|"F"|"PGM2"|2013|2|42|2013-02-01|673.07|16.34
11|"GRP2"|"F"|"PGM2"|2013|3|42|2013-03-01|995.15|31.79
11|"GRP2"|"F"|"PGM2"|2013|4|42|2013-04-01|1272.63|17.63
11|"GRP2"|"F"|"PGM2"|2013|5|42|2013-05-01|1418.19|19.8
13|"GRP1"|"NB"|"PGM2"|2012|2|18|2012-02-01|0|34.75
13|"GRP1"|"NB"|"PGM2"|2012|3|18|2012-03-01|0|25.87
13|"GRP1"|"NB"|"PGM2"|2012|4|18|2012-04-01|0|30.8
13|"GRP1"|"NB"|"PGM2"|2012|5|18|2012-05-01|0|25.37
13|"GRP1"|"NB"|"PGM2"|2012|6|18|2012-06-01|0|28.18
13|"GRP1"|"NB"|"PGM2"|2012|7|18|2012-07-01|0|29.26
13|"GRP1"|"NB"|"PGM2"|2012|8|18|2012-08-01|0|33.05
13|"GRP1"|"NB"|"PGM2"|2012|9|18|2012-09-01|0|31.54
13|"GRP1"|"NB"|"PGM2"|2012|10|18|2012-10-01|0|27.84
13|"GRP1"|"NB"|"PGM2"|2012|11|18|2012-11-01|0|18.92
13|"GRP1"|"NB"|"PGM2"|2012|12|18|2012-12-01|0|26.86
13|"GRP1"|"NB"|"PGM2"|2013|1|19|2013-01-01|0|34.97
13|"GRP1"|"NB"|"PGM2"|2013|2|19|2013-02-01|0|32
13|"GRP1"|"NB"|"PGM2"|2013|3|19|2013-03-01|0|30.34
13|"GRP1"|"NB"|"PGM2"|2013|4|19|2013-04-01|0|40.31
13|"GRP4"|"NB"|"PGM2"|2013|5|19|2013-05-01|5774.05|35.62
13|"GRP4"|"NB"|"PGM2"|2013|6|19|2013-06-01|5235.04|37
13|"GRP4"|"NB"|"PGM2"|2013|7|19|2013-07-01|3530.7|30
13|"GRP4"|"NB"|"PGM2"|2013|8|19|2013-08-01|1776.66|38.94
13|"GRP4"|"NB"|"PGM2"|2013|9|19|2013-09-01|733.46|36.96
13|"GRP4"|"NB"|"PGM2"|2013|10|19|2013-10-01|263.25|36.31
14|"GRP3"|"F"|"PGM1"|2011|2|29|2011-02-01|1392.83|7.73
14|"GRP3"|"F"|"PGM1"|2011|3|29|2011-03-01|2059.34|8.69
14|"GRP4"|"F"|"PGM1"|2011|4|29|2011-04-01|5267.1|8.22
14|"GRP4"|"F"|"PGM1"|2011|5|29|2011-05-01|5869.51|12.82
14|"GRP4"|"F"|"PGM1"|2011|6|29|2011-06-01|5321.59|7.95
14|"GRP4"|"F"|"PGM1"|2011|7|29|2011-07-01|3589.07|9.02
14|"GRP4"|"F"|"PGM1"|2011|8|29|2011-08-01|1806.03|9.82
14|"GRP4"|"F"|"PGM1"|2011|9|29|2011-09-01|745.59|11.59
14|"GRP4"|"F"|"PGM1"|2011|10|29|2011-10-01|267.6|13.94
14|"GRP4"|"F"|"PGM1"|2011|11|29|2011-11-01|75.08|11.6
14|"GRP4"|"F"|"PGM1"|2011|12|29|2011-12-01|0.14|11.73
14|"GRP4"|"F"|"PGM1"|2012|1|30|2012-01-01|1448.63|8.2
14|"GRP4"|"F"|"PGM1"|2012|2|30|2012-02-01|2883.15|12.11
14|"GRP4"|"F"|"PGM1"|2012|3|30|2012-03-01|4262.83|7.4
14|"GRP4"|"F"|"PGM1"|2012|4|30|2012-04-01|5451.43|10.01
14|"GRP4"|"F"|"PGM1"|2012|5|30|2012-05-01|6074.93|10.25
14|"GRP4"|"F"|"PGM1"|2012|6|30|2012-06-01|5507.83|13.37
14|"GRP4"|"F"|"PGM1"|2012|7|30|2012-07-01|3714.68|9.13
14|"GRP4"|"F"|"PGM1"|2012|8|30|2012-08-01|1869.24|5.95
14|"GRP4"|"F"|"PGM1"|2012|9|30|2012-09-01|771.68|9.08
14|"GRP4"|"F"|"PGM1"|2012|10|30|2012-10-01|276.96|9.44
15|"GRP4"|"NB"|"PGM1"|2008|2|31|2008-02-01|4460|17.5
15|"GRP4"|"NB"|"PGM1"|2008|3|31|2008-03-01|6594.25|11.45
15|"GRP4"|"NB"|"PGM1"|2008|4|31|2008-04-01|8432.92|13.47
15|"GRP4"|"NB"|"PGM1"|2008|5|31|2008-05-01|9397.42|12.7
15|"GRP4"|"NB"|"PGM1"|2008|6|31|2008-06-01|8520.16|12.02
15|"GRP4"|"NB"|"PGM1"|2008|7|31|2008-07-01|5746.31|15.8
15|"GRP4"|"NB"|"PGM1"|2008|8|31|2008-08-01|2891.56|22.76
15|"GRP4"|"NB"|"PGM1"|2008|9|31|2008-09-01|1193.73|16.58
15|"GRP4"|"NB"|"PGM1"|2008|10|31|2008-10-01|428.44|18.22
15|"GRP4"|"NB"|"PGM1"|2008|11|31|2008-11-01|120.21|12.82
15|"GRP4"|"NB"|"PGM1"|2008|12|31|2008-12-01|0.22|16.22
15|"GRP4"|"NB"|"PGM1"|2009|1|32|2009-01-01|2314.35|15.61
15|"GRP4"|"NB"|"PGM1"|2009|2|32|2009-02-01|4606.16|18
15|"GRP4"|"NB"|"PGM1"|2009|3|32|2009-03-01|6810.36|13.32
15|"GRP4"|"NB"|"PGM1"|2009|4|32|2009-04-01|8709.29|17.03
15|"GRP4"|"NB"|"PGM1"|2009|5|32|2009-05-01|9705.39|13.36
15|"GRP4"|"NB"|"PGM1"|2009|6|32|2009-06-01|8799.39|10.91
15|"GRP4"|"NB"|"PGM1"|2009|7|32|2009-07-01|5934.62|12.17
15|"GRP4"|"NB"|"PGM1"|2009|8|32|2009-08-01|2986.32|17.86
15|"GRP4"|"NB"|"PGM1"|2009|9|32|2009-09-01|1232.85|14.41
15|"GRP4"|"NB"|"PGM1"|2009|10|32|2009-10-01|442.48|13.46
15|"GRP4"|"NB"|"PGM1"|2009|11|32|2009-11-01|124.15|15.91
15|"GRP4"|"NB"|"PGM1"|2009|12|32|2009-12-01|0.23|12.64
15|"GRP4"|"NB"|"PGM1"|2010|1|33|2010-01-01|2387.86|15.98
15|"GRP4"|"NB"|"PGM1"|2010|2|33|2010-02-01|4752.47|18.16
15|"GRP4"|"NB"|"PGM1"|2010|3|33|2010-03-01|7026.68|15.7
15|"GRP4"|"NB"|"PGM1"|2010|4|33|2010-04-01|8985.93|14.17
15|"GRP4"|"NB"|"PGM1"|2010|5|33|2010-05-01|10013.66|17.69
15|"GRP4"|"NB"|"PGM1"|2010|6|33|2010-06-01|9078.88|14.7
15|"GRP4"|"NB"|"PGM1"|2010|7|33|2010-07-01|6123.13|16.59
15|"GRP4"|"NB"|"PGM1"|2010|8|33|2010-08-01|3081.18|18.95
15|"GRP4"|"NB"|"PGM1"|2010|9|33|2010-09-01|1272.01|16.19
15|"GRP4"|"NB"|"PGM1"|2010|10|33|2010-10-01|456.54|18.93
15|"GRP4"|"NB"|"PGM1"|2010|11|33|2010-11-01|128.09|18.32
15|"GRP4"|"NB"|"PGM1"|2010|12|33|2010-12-01|0.24|14.83
15|"GRP4"|"NB"|"PGM1"|2011|1|34|2011-01-01|2461.44|19.63
15|"GRP4"|"NB"|"PGM1"|2011|2|34|2011-02-01|4898.92|14.88
15|"GRP4"|"NB"|"PGM1"|2011|3|34|2011-03-01|7243.21|11.21
15|"GRP4"|"NB"|"PGM1"|2011|4|34|2011-04-01|9262.83|17.4
15|"GRP4"|"NB"|"PGM1"|2011|5|34|2011-05-01|10322.24|11.23
15|"GRP4"|"NB"|"PGM1"|2011|6|34|2011-06-01|9358.66|18.55
15|"GRP4"|"NB"|"PGM1"|2011|7|34|2011-07-01|6311.82|14.53
15|"GRP4"|"NB"|"PGM1"|2011|8|34|2011-08-01|3176.13|16.61
15|"GRP4"|"NB"|"PGM1"|2011|9|34|2011-09-01|1311.21|17.05
15|"GRP4"|"NB"|"PGM1"|2011|10|34|2011-10-01|470.61|16.09
15|"GRP4"|"NB"|"PGM1"|2011|11|34|2011-11-01|132.04|14.88
15|"GRP4"|"NB"|"PGM1"|2011|12|34|2011-12-01|0.24|18.35
15|"GRP4"|"NB"|"PGM1"|2012|1|35|2012-01-01|2535.1|17.37
15|"GRP4"|"NB"|"PGM1"|2012|2|35|2012-02-01|5045.51|15.41
16|"GRP4"|"M"|"PGM2"|2013|2|42|2013-02-01|2019.21|9.37
16|"GRP4"|"M"|"PGM2"|2013|3|42|2013-03-01|2985.46|13.28
16|"GRP4"|"M"|"PGM2"|2013|4|42|2013-04-01|3817.9|10.84
16|"GRP4"|"M"|"PGM2"|2013|5|42|2013-05-01|4254.56|7.18
16|"GRP4"|"M"|"PGM2"|2013|6|42|2013-06-01|3857.4|7.95
16|"GRP1"|"M"|"PGM2"|2013|7|42|2013-07-01|0|10.9
16|"GRP1"|"M"|"PGM2"|2013|8|42|2013-08-01|0|8.91
16|"GRP1"|"M"|"PGM2"|2013|9|42|2013-09-01|0|7.62
16|"GRP1"|"M"|"PGM2"|2013|10|42|2013-10-01|0|9.15
17|"GRP4"|"F"|"PGM2"|2012|9|19|2012-09-01|488.73|16.97
17|"GRP4"|"F"|"PGM2"|2012|10|19|2012-10-01|175.41|17.96
17|"GRP4"|"F"|"PGM2"|2012|11|19|2012-11-01|49.22|21.69
17|"GRP4"|"F"|"PGM2"|2012|12|19|2012-12-01|0.09|20.57
17|"GRP4"|"F"|"PGM2"|2013|1|20|2013-01-01|966.23|16.3
17|"GRP2"|"F"|"PGM2"|2013|2|20|2013-02-01|320.51|19.57
17|"GRP2"|"F"|"PGM2"|2013|3|20|2013-03-01|473.88|14.24
17|"GRP2"|"F"|"PGM2"|2013|4|20|2013-04-01|606.02|18.13
17|"GRP2"|"F"|"PGM2"|2013|5|20|2013-05-01|675.33|20.78
17|"GRP2"|"F"|"PGM2"|2013|6|20|2013-06-01|612.29|21.85
17|"GRP2"|"F"|"PGM2"|2013|7|20|2013-07-01|412.95|26.69
17|"GRP2"|"F"|"PGM2"|2013|8|20|2013-08-01|207.8|20.32
17|"GRP2"|"F"|"PGM2"|2013|9|20|2013-09-01|85.79|25.99
17|"GRP2"|"F"|"PGM2"|2013|10|20|2013-10-01|30.79|17.3
17|"GRP2"|"F"|"PGM2"|2013|11|20|2013-11-01|8.64|14.86
17|"GRP2"|"F"|"PGM2"|2013|12|20|2013-12-01|0.02|17.4
18|"GRP1"|"F"|"PGM2"|2011|6|37|2011-06-01|0|17.08
18|"GRP1"|"F"|"PGM2"|2011|7|37|2011-07-01|0|25.39
18|"GRP1"|"F"|"PGM2"|2011|8|37|2011-08-01|0|23.27
18|"GRP1"|"F"|"PGM2"|2011|9|37|2011-09-01|0|19.54
18|"GRP1"|"F"|"PGM2"|2011|10|37|2011-10-01|0|18.83
18|"GRP1"|"F"|"PGM2"|2011|11|37|2011-11-01|0|23.44
18|"GRP1"|"F"|"PGM2"|2011|12|37|2011-12-01|0|14.45
18|"GRP1"|"F"|"PGM2"|2012|1|38|2012-01-01|0|19.54
18|"GRP1"|"F"|"PGM2"|2012|2|38|2012-02-01|0|18.8
18|"GRP1"|"F"|"PGM2"|2012|3|38|2012-03-01|0|12.41
18|"GRP1"|"F"|"PGM2"|2012|4|38|2012-04-01|0|11.78
18|"GRP1"|"F"|"PGM2"|2012|5|38|2012-05-01|0|16.89
19|"GRP1"|"F"|"PGM3"|2011|7|36|2011-07-01|0|28.8
19|"GRP1"|"F"|"PGM3"|2011|8|36|2011-08-01|0|37.44
19|"GRP1"|"F"|"PGM3"|2011|9|36|2011-09-01|0|28.56
19|"GRP1"|"F"|"PGM3"|2011|10|36|2011-10-01|0|35.68
19|"GRP1"|"F"|"PGM3"|2011|11|36|2011-11-01|0|28.18
19|"GRP1"|"F"|"PGM3"|2011|12|36|2011-12-01|0|28.73
19|"GRP1"|"F"|"PGM3"|2012|1|37|2012-01-01|0|22.32
19|"GRP1"|"F"|"PGM3"|2012|2|37|2012-02-01|0|37.28
19|"GRP1"|"F"|"PGM3"|2012|3|37|2012-03-01|0|24.86
19|"GRP1"|"F"|"PGM3"|2012|4|37|2012-04-01|0|36.3
19|"GRP1"|"F"|"PGM3"|2012|5|37|2012-05-01|0|29.45
19|"GRP1"|"F"|"PGM3"|2012|6|37|2012-06-01|0|25.48
19|"GRP1"|"F"|"PGM3"|2012|7|37|2012-07-01|0|35.79
19|"GRP1"|"F"|"PGM3"|2012|8|37|2012-08-01|0|30.04
19|"GRP1"|"F"|"PGM3"|2012|9|37|2012-09-01|0|36.98
19|"GRP1"|"F"|"PGM3"|2012|10|37|2012-10-01|0|37.45
19|"GRP1"|"F"|"PGM3"|2012|11|37|2012-11-01|0|32.69
19|"GRP1"|"F"|"PGM3"|2012|12|37|2012-12-01|0|29.63
19|"GRP1"|"F"|"PGM3"|2013|1|38|2013-01-01|0|31.26
19|"GRP4"|"F"|"PGM3"|2013|2|38|2013-02-01|3653.81|36.34
19|"GRP4"|"F"|"PGM3"|2013|3|38|2013-03-01|5402.27|27.55
19|"GRP4"|"F"|"PGM3"|2013|4|38|2013-04-01|6908.58|36.92
20|"GRP3"|"F"|"PGM3"|2008|12|41|2008-12-01|0.1|33.37
20|"GRP3"|"F"|"PGM3"|2009|1|42|2009-01-01|1012.53|36.74
20|"GRP3"|"F"|"PGM3"|2009|2|42|2009-02-01|2015.2|33.45
20|"GRP3"|"F"|"PGM3"|2009|3|42|2009-03-01|2979.53|28.19
20|"GRP3"|"F"|"PGM3"|2009|4|42|2009-04-01|3810.31|33.32
20|"GRP3"|"F"|"PGM3"|2009|5|42|2009-05-01|4246.11|40.78
20|"GRP3"|"F"|"PGM3"|2009|6|42|2009-06-01|3849.73|31.75
20|"GRP3"|"F"|"PGM3"|2009|7|42|2009-07-01|2596.4|33.39
20|"GRP3"|"F"|"PGM3"|2009|8|42|2009-08-01|1306.52|22.43
20|"GRP3"|"F"|"PGM3"|2009|9|42|2009-09-01|539.37|23.01
20|"GRP3"|"F"|"PGM3"|2009|10|42|2009-10-01|193.59|35.65
20|"GRP3"|"F"|"PGM3"|2009|11|42|2009-11-01|54.32|24.27
20|"GRP3"|"F"|"PGM3"|2009|12|42|2009-12-01|0.1|32.47
20|"GRP3"|"F"|"PGM3"|2010|1|43|2010-01-01|1037.15|30.71
20|"GRP3"|"F"|"PGM3"|2010|2|43|2010-02-01|2064.2|32.32
20|"GRP3"|"F"|"PGM3"|2010|3|43|2010-03-01|3051.99|37.35
20|"GRP3"|"F"|"PGM3"|2010|4|43|2010-04-01|3902.98|36.97
20|"GRP3"|"F"|"PGM3"|2010|5|43|2010-05-01|4349.37|21.23
20|"GRP3"|"F"|"PGM3"|2010|6|43|2010-06-01|3943.35|37.83
20|"GRP3"|"F"|"PGM3"|2010|7|43|2010-07-01|2659.54|39.99
20|"GRP3"|"F"|"PGM3"|2010|8|43|2010-08-01|1338.29|31.72
21|"GRP1"|"F"|"PGM2"|2009|9|23|2009-09-01|0|15.89
21|"GRP1"|"F"|"PGM2"|2009|10|23|2009-10-01|0|24.34
21|"GRP1"|"F"|"PGM2"|2009|11|23|2009-11-01|0|22.09
21|"GRP1"|"F"|"PGM2"|2009|12|23|2009-12-01|0|18.5
21|"GRP1"|"F"|"PGM2"|2010|1|24|2010-01-01|0|23.35
21|"GRP1"|"F"|"PGM2"|2010|2|24|2010-02-01|0|17.4
21|"GRP1"|"F"|"PGM2"|2010|3|24|2010-03-01|0|15.26
21|"GRP1"|"F"|"PGM2"|2010|4|24|2010-04-01|0|17.75
21|"GRP1"|"F"|"PGM2"|2010|5|24|2010-05-01|0|27.83
21|"GRP1"|"F"|"PGM2"|2010|6|24|2010-06-01|0|19.37
21|"GRP1"|"F"|"PGM2"|2010|7|24|2010-07-01|0|25.95
21|"GRP1"|"F"|"PGM2"|2010|8|24|2010-08-01|0|13.7
22|"GRP2"|"NB"|"PGM3"|2011|9|37|2011-09-01|237.82|59.42
22|"GRP2"|"NB"|"PGM3"|2011|10|37|2011-10-01|85.35|47.26
22|"GRP2"|"NB"|"PGM3"|2011|11|37|2011-11-01|23.95|51.32
22|"GRP2"|"NB"|"PGM3"|2011|12|37|2011-12-01|0.04|54.96
22|"GRP2"|"NB"|"PGM3"|2012|1|38|2012-01-01|458.73|45.03
22|"GRP2"|"NB"|"PGM3"|2012|2|38|2012-02-01|913|31.95
22|"GRP2"|"NB"|"PGM3"|2012|3|38|2012-03-01|1349.9|35.46
22|"GRP2"|"NB"|"PGM3"|2012|4|38|2012-04-01|1726.29|38.94
22|"GRP2"|"NB"|"PGM3"|2012|5|38|2012-05-01|1923.73|34.99
22|"GRP2"|"NB"|"PGM3"|2012|6|38|2012-06-01|1744.15|38.41
22|"GRP2"|"NB"|"PGM3"|2012|7|38|2012-07-01|1176.32|34.84
22|"GRP2"|"NB"|"PGM3"|2012|8|38|2012-08-01|591.93|50.06
22|"GRP2"|"NB"|"PGM3"|2012|9|38|2012-09-01|244.37|36.55
22|"GRP2"|"NB"|"PGM3"|2012|10|38|2012-10-01|87.71|53.77
23|"GRP4"|"NB"|"PGM3"|2011|2|33|2011-02-01|4754.83|29.77
23|"GRP4"|"NB"|"PGM3"|2011|3|33|2011-03-01|7030.17|49.04
23|"GRP4"|"NB"|"PGM3"|2011|4|33|2011-04-01|8990.4|37.57
23|"GRP4"|"NB"|"PGM3"|2011|5|33|2011-05-01|10018.65|47.72
23|"GRP4"|"NB"|"PGM3"|2011|6|33|2011-06-01|9083.4|62.92
23|"GRP4"|"NB"|"PGM3"|2011|7|33|2011-07-01|6126.17|55.27
23|"GRP4"|"NB"|"PGM3"|2011|8|33|2011-08-01|3082.71|46.53
